AreaOccupied_AreaOccupied_Fibrils,AreaOccupied_Perimeter_Fibrils,AreaOccupied_TotalArea_Fibrils,Channel_GFP,Count_BrightNoise,Count_FibrilCenters,Count_Fibrils,Count_NoiseExpanded,Crop_AreaRetainedAfterCropping_EnhancedMaskedCroppedTubes,Crop_AreaRetainedAfterCropping_GFPRescaledCropped,Crop_OriginalImageArea_EnhancedMaskedCroppedTubes,Crop_OriginalImageArea_GFPRescaledCropped,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07EnhanceOrSuppressFeatures,ExecutionTime_08GaussianFilter,ExecutionTime_09IdentifyPrimaryObjects,ExecutionTime_10ExpandOrShrinkObjects,ExecutionTime_11MaskImage,ExecutionTime_12Crop,ExecutionTime_13IdentifyPrimaryObjects,ExecutionTime_14MeasureObjectSizeShape,ExecutionTime_15MeasureImageAreaOccupied,ExecutionTime_16MeasureObjectIntensity,ExecutionTime_17ConvertObjectsToImage,ExecutionTime_18MorphologicalSkeleton,ExecutionTime_19ExpandOrShrinkObjects,ExecutionTime_20MeasureObjectSkeleton,ExecutionTime_21RescaleIntensity,ExecutionTime_22ImageMath,ExecutionTime_23Crop,ExecutionTime_24OverlayObjects,ExecutionTime_25SaveImages,ExecutionTime_26SaveImages,ExecutionTime_27DisplayDataOnImage,ExecutionTime_28SaveImages,ExecutionTime_29DisplayDataOnImage,ExecutionTime_30SaveImages,ExecutionTime_31DisplayDataOnImage,ExecutionTime_32SaveImages,FileName_GFP,Frame_GFP,Group_Index,Group_Number,Height_GFP,ImageNumber,ImageSet_ImageSet,MD5Digest_GFP,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_channel,Metadata_image,Metadata_substrate,Metadata_time,Metadata_timepoint,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07EnhanceOrSuppressFeatures,ModuleError_08GaussianFilter,ModuleError_09IdentifyPrimaryObjects,ModuleError_10ExpandOrShrinkObjects,ModuleError_11MaskImage,ModuleError_12Crop,ModuleError_13IdentifyPrimaryObjects,ModuleError_14MeasureObjectSizeShape,ModuleError_15MeasureImageAreaOccupied,ModuleError_16MeasureObjectIntensity,ModuleError_17ConvertObjectsToImage,ModuleError_18MorphologicalSkeleton,ModuleError_19ExpandOrShrinkObjects,ModuleError_20MeasureObjectSkeleton,ModuleError_21RescaleIntensity,ModuleError_22ImageMath,ModuleError_23Crop,ModuleError_24OverlayObjects,ModuleError_25SaveImages,ModuleError_26SaveImages,ModuleError_27DisplayDataOnImage,ModuleError_28SaveImages,ModuleError_29DisplayDataOnImage,ModuleError_30SaveImages,ModuleError_31DisplayDataOnImage,ModuleError_32SaveImages,PathName_GFP,ProcessingStatus,Scaling_GFP,Series_GFP,Threshold_FinalThreshold_BrightNoise,Threshold_FinalThreshold_Fibrils,Threshold_OrigThreshold_BrightNoise,Threshold_OrigThreshold_Fibrils,Threshold_SumOfEntropies_BrightNoise,Threshold_SumOfEntropies_Fibrils,Threshold_WeightedVariance_BrightNoise,Threshold_WeightedVariance_Fibrils,URL_GFP,Width_GFP
16232.0,10897.0,966288.0,-1,0.0,502.0,502.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.1499999999999773,0.0,0.5300000000000011,0.0,0.14999999999997726,0.17000000000001592,0.2400000000000091,0.060000000000002274,0.0,0.009999999999990905,0.4900000000000091,0.5099999999999909,0.060000000000002274,0.09999999999999432,0.010000000000019327,0.009999999999990905,0.2600000000000193,0.4399999999999977,0.009999999999990905,0.0,0.020000000000010232,0.12000000000000455,1.4799999999999898,0.27000000000001023,1.1699999999999875,1.3199999999999932,1.0800000000000125,1.3400000000000034,1.1100000000000136,1.3599999999999852,12hr_w2GFP.TIF,0,1,1,1002,1,b'eLswxMGCG01Lg6MUNgLyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDP4ZZ4',d8eccccf78063f4e56c173fb50c5188e,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/01/12hr_w2GFP.TIF,0,0,GFP,01,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/01,Done,65535,0,0.02,0.0071336611290462315,0.00438557073357515,0.0071336611290462315,0.0,-12.456842668500627,0.0853182002902031,0.026729327244346842,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/01/12hr_w2GFP.TIF,1004
15707.0,10151.0,966288.0,-1,0.0,386.0,386.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.6699999999999875,0.0,0.700000000000017,0.009999999999990905,0.30000000000001137,0.1599999999999966,0.37000000000000455,0.09000000000000341,0.009999999999990905,0.020000000000010232,0.6899999999999977,0.4199999999999875,0.05000000000001137,0.14000000000001478,0.0,0.009999999999990905,0.4800000000000182,0.9299999999999784,0.009999999999990905,0.020000000000010232,0.05000000000001137,0.21000000000000796,1.7099999999999795,0.3100000000000023,1.3499999999999943,1.5800000000000125,1.1899999999999977,1.6299999999999955,1.420000000000016,1.759999999999991,12hr_w2GFP.TIF,0,2,1,1002,2,b'eLswxMGCG01Lg6AUNtI3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDQOZZ5',ad501cf3b4d8f077695e2ad73287cddf,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/02/12hr_w2GFP.TIF,0,0,GFP,02,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/02,Done,65535,0,0.02,0.012952499091625214,0.003953537350753322,0.012952499091625214,0.0,-12.107235923661733,0.03304610028862953,0.09672815591200076,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/02/12hr_w2GFP.TIF,1004
11282.0,7131.0,966288.0,-1,0.0,280.0,280.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.6500000000000057,0.0,0.7400000000000091,0.020000000000010232,0.3100000000000023,0.1599999999999966,0.3499999999999943,0.09999999999999432,0.010000000000019327,0.01999999999998181,0.6899999999999977,0.3300000000000125,0.030000000000001137,0.09999999999999432,0.020000000000010232,0.009999999999990905,0.4000000000000057,0.710000000000008,0.0,0.009999999999990905,0.040000000000020464,0.25,1.8499999999999943,0.28000000000000114,1.1499999999999773,1.670000000000016,1.1099999999999852,1.6400000000000148,1.2399999999999807,1.8400000000000034,12hr_w2GFP.TIF,0,3,1,1002,3,b'eLswxMGCG01Lg6AUNtY3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDQkZZ6',c6f94f2d3ff99df2e45e2c7d08c00fa9,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/03/12hr_w2GFP.TIF,0,0,GFP,03,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/03,Done,65535,0,0.02,0.03003501519560814,0.0036322161613497883,0.03003501519560814,0.0,-12.178892668525522,0.03154715523123741,0.5780725688707713,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/03/12hr_w2GFP.TIF,1004
11312.0,7546.0,926822.0,-1,1.0,354.0,354.0,1.0,966288,966288,1006008,1006008,0.0,0.0,1.5200000000000102,0.0,0.8000000000000114,0.009999999999990905,0.3499999999999943,0.19000000000002615,0.4199999999999875,0.1599999999999966,0.0,0.01999999999998181,0.6800000000000068,0.38999999999998636,0.05000000000001137,0.12999999999999545,0.009999999999990905,0.020000000000010232,0.46999999999999886,0.9000000000000057,0.009999999999990905,0.020000000000010232,0.030000000000001137,0.2300000000000182,1.8699999999999761,0.29000000000002046,1.3199999999999932,1.710000000000008,1.2199999999999989,1.8199999999999932,1.339999999999975,1.9300000000000068,12hr_w2GFP.TIF,0,4,1,1002,4,b'eLswxMGCG01Lg6AUNtE3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDQ6ZZ7',63b83f1f76455354e58c25b4b831909c,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/04/12hr_w2GFP.TIF,0,0,GFP,04,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/04,Done,65535,0,0.02,0.006957227480597794,0.003933976637199521,0.006957227480597794,-11.466564582682604,-12.417794904964829,0.07560518222099678,0.015401683464360345,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/04/12hr_w2GFP.TIF,1004
14267.0,9151.0,966288.0,-1,0.0,382.0,382.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.6899999999999977,0.0,0.710000000000008,0.01999999999998181,0.29999999999998295,0.14999999999997726,0.37999999999999545,0.0800000000000125,0.0,0.030000000000001137,0.6899999999999977,0.410000000000025,0.03999999999999204,0.12000000000000455,0.0,0.010000000000019327,0.47999999999998977,0.8799999999999955,0.01999999999998181,0.010000000000019327,0.04999999999998295,0.2300000000000182,1.8199999999999932,0.3299999999999841,1.3500000000000227,1.6800000000000068,1.25,1.789999999999992,1.3700000000000045,1.8699999999999761,12hr_w2GFP.TIF,0,5,1,1002,5,b'eLswxMGCG01Lg6AUNtU3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDRQZZ8',f7fc1d8cb2062fe3b3fb03bf126221bc,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/05/12hr_w2GFP.TIF,0,0,GFP,05,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/05,Done,65535,0,0.02,0.010682136984542012,0.004189173749182373,0.010682136984542012,0.0,-12.373636263631901,0.07230019569396973,0.06489761561619678,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/05/12hr_w2GFP.TIF,1004
13933.0,8679.0,876191.0,-1,2.0,375.0,375.0,2.0,966288,966288,1006008,1006008,0.0,0.0,1.6200000000000045,0.0,0.75,0.010000000000019327,0.3300000000000125,0.17000000000001592,0.4199999999999875,0.15000000000000568,0.0,0.020000000000010232,0.6500000000000057,0.4099999999999966,0.03999999999999204,0.14000000000001478,0.0,0.009999999999990905,0.4899999999999807,0.8799999999999955,0.009999999999990905,0.020000000000010232,0.030000000000001137,0.23999999999998067,1.960000000000008,0.30000000000001137,1.329999999999984,1.7600000000000193,1.259999999999991,1.9099999999999966,1.3499999999999943,1.9699999999999989,12hr_w2GFP.TIF,0,6,1,1002,6,b'eLswxMGCG01Lg6AUNtM3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDRmZZ9',ee6130f0fc493a5b7c12afdc9f12734e,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/06/12hr_w2GFP.TIF,0,0,GFP,06,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/06,Done,65535,0,0.02,0.013058256590738893,0.00411370731308125,0.013058256590738893,-12.289729016750766,-12.415205974783273,0.11788756979864007,0.22336633848123047,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/06/12hr_w2GFP.TIF,1004
21743.0,12631.0,966288.0,-1,0.0,415.0,415.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.509999999999991,0.0,0.8100000000000023,0.009999999999990905,0.3400000000000034,0.18999999999999773,0.3300000000000125,0.09000000000000341,0.009999999999990905,0.030000000000001137,0.7299999999999898,0.46000000000000796,0.04999999999998295,0.15000000000000568,0.0,0.009999999999990905,0.4900000000000091,0.9099999999999966,0.009999999999990905,0.01999999999998181,0.05000000000001137,0.21000000000000796,1.990000000000009,0.3299999999999841,1.3600000000000136,1.7900000000000205,1.3000000000000114,1.9499999999999886,1.4499999999999886,1.9599999999999795,12hr_w2GFP.TIF,0,7,1,1002,7,b'eLswxMGCG01Lg6AUNtc3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDR8ZZ+',108b1569ab79e400d78bd4cc0b52c2e6,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/07/12hr_w2GFP.TIF,0,0,GFP,07,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/07,Done,65535,0,0.02,0.00990572792943567,0.004423184000188485,0.00990572792943567,0.0,-12.369960310320499,0.07548218965530396,0.04965480791989516,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/07/12hr_w2GFP.TIF,1004
22472.0,14227.0,966288.0,-1,0.0,601.0,601.0,0.0,966288,966288,1006008,1006008,0.0,0.0,1.6099999999999852,0.0,0.8299999999999841,0.010000000000019327,0.3599999999999852,0.18000000000000682,0.3400000000000034,0.0800000000000125,0.009999999999990905,0.03999999999999204,0.7199999999999989,0.6299999999999955,0.06999999999999318,0.18000000000000682,0.0,0.009999999999990905,0.4900000000000091,0.8899999999999864,0.0,0.009999999999990905,0.030000000000001137,0.18999999999999773,1.8700000000000045,0.3800000000000239,1.5699999999999932,1.6499999999999773,1.5199999999999818,1.799999999999983,1.5900000000000034,1.8300000000000125,12hr_w2GFP.TIF,0,8,1,1002,8,b'eLswxMGCG01Lg6AUttQ3NALyy42A3tUL8XQDl7owbwFDC+RczPIZxICX0ZDwAjLAQQ2kgRFgBwDSoZaA',d9b96e526fcb1d55b42e544efc308ba6,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/09/12hr_w2GFP.TIF,0,0,GFP,09,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/09,Done,65535,0,0.02,0.007355893030762672,0.004430739121744409,0.007355893030762672,0.0,-12.568929987093535,0.09904203563928604,0.036137107962513265,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/09/12hr_w2GFP.TIF,1004
20078.0,12062.0,838535.0,-1,3.0,446.0,446.0,3.0,966288,966288,1006008,1006008,0.0,0.0,0.6099999999999852,0.0,0.7700000000000102,0.0,0.15000000000000568,0.1799999999999784,0.28000000000000114,0.09999999999999432,0.0,0.020000000000010232,0.4300000000000068,0.6800000000000068,0.07999999999998408,0.18999999999999773,0.0,0.020000000000010232,0.44999999999998863,0.710000000000008,0.020000000000010232,0.009999999999990905,0.01999999999998181,0.11000000000001364,1.8899999999999864,0.410000000000025,1.6200000000000045,1.740000000000009,1.3599999999999852,1.7600000000000193,1.4099999999999966,1.9199999999999875,12hr_w2GFP.TIF,0,9,1,1002,9,b'eLswxMGCG01LA18KGxroGxoB+eVGQO/qhXi6gUtdmLeAoQVyLmb5DGLAy2hIeAEZ4KAG0sAIsAMAz+KWeA==',11ff231504b2d0911ba9cfa8f520a2ac,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/10/12hr_w2GFP.TIF,0,0,GFP,10,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/10,Done,65535,0,0.02,0.01742943748831749,0.005614148685708642,0.01742943748831749,-12.302904420473329,-12.267050590952838,0.18383958129982242,0.4765677329071323,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/10/12hr_w2GFP.TIF,1004
10931.0,6377.0,966288.0,-1,0.0,247.0,247.0,0.0,966288,966288,1006008,1006008,0.0,0.0,0.30000000000001137,0.0,1.0300000000000011,0.010000000000019327,0.18999999999999773,0.19999999999998863,0.29000000000002046,0.06999999999999318,0.0,0.01999999999998181,0.5600000000000023,0.36000000000001364,0.040000000000020464,0.12000000000000455,0.009999999999990905,0.01999999999998181,0.30000000000001137,0.6800000000000068,0.020000000000010232,0.009999999999990905,0.020000000000010232,0.20000000000001705,2.4799999999999898,0.3100000000000023,1.4699999999999989,2.5700000000000216,1.3799999999999955,2.460000000000008,1.460000000000008,2.6299999999999955,12hr_w2GFP.TIF,0,10,1,1002,10,b'eLswxMGCG01LA18KGwJLYSMgv9wI6F29EE83cKkL8xYwtEDOxSyfQQx4GQ0JLyADHNRAGhgBdgDQOpZ5',a24cc8d0fa242168131178c0a97dba08,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/11/12hr_w2GFP.TIF,0,0,GFP,11,HP05,hr_12,12hr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/11,Done,65535,0,0.02,0.030185116920620203,0.0037205127300694585,0.030185116920620203,0.0,-12.305410910748588,0.05616261437535286,0.5914564413160814,file:/Users/pryder/GitHub/pearlryder_projects/2021_01_14_FibrilAnalysis_RIT_GaborskiLab/data/Batch_2/hr_12/HP05/11/12hr_w2GFP.TIF,1004
